    Step    Atoms         KinEng            CPU 
       0        0              0              0 
INFO: Particle insertion ins: inserted 75 particle templates (mass 2.968805e-07) at step 1
 - a total of 75 particle templates (mass 2.968805e-07) inserted so far.
 4830000      739  4.4845021e-10      4690.4798 
 4840000      739  3.2026674e-09      4704.1404 
 4850000      739  2.5073811e-09       4718.439 
 4860000      739  1.9724244e-09      4731.6587 
 4870000      739  1.6543981e-09      4744.7352 
 4880000      739  1.3089986e-07      4760.0897 
 4890000      738  1.2922145e-09      4777.1073 
 4900000      738  1.0570297e-09      4789.7992 
 4910000      738  9.9128106e-10      4802.3985 
 4920000      738  1.0515915e-09      4814.9368 
 4930000      738  1.3898316e-09      4827.4859 
 4940000      738  9.9617323e-10      4840.6576 
 4950000      738  9.5185714e-10      4853.2193 
 4960000      738  1.7444946e-09      4866.8433 
 4970000      738  1.9253593e-09      4879.6229 
 4980000      738  1.5281813e-09      4892.4612 
 4990000      738  2.0138568e-09      4905.4026 
 5000000      738  2.5945579e-09      4918.6369 
INFO: Particle insertion ins: inserted 75 particle templates (mass 2.968805e-07) at step 5000001
 - a total of 825 particle templates (mass 3.265686e-06) inserted so far.
 5010000      813  2.6750967e-09      4931.8881 
 5020000      813  2.8310888e-09      4945.2405 
 5030000      813  2.9485645e-09      4958.6596 
 5040000      813  3.4509307e-09      4972.1808 
 5050000      813   3.766862e-09      4986.7742 
 5060000      812  8.5354967e-10      4999.0981 
 5070000      812  1.1611126e-09      5011.4178 
 5080000      812  6.4923313e-10      5024.9595 
 5090000      812  5.1153133e-10      5037.1279 
 5100000      812  5.6993543e-10      5049.2616 
 5110000      812  4.9794962e-10      5061.4817 
 5120000      812  4.8122927e-10      5073.6251 
 5130000      812  5.8112946e-10      5086.3156 
 5140000      812  5.3682952e-10      5098.3927 
 5150000      812   6.302683e-10      5111.1471 
 5160000      812  5.7172484e-10      5123.6656 
 5170000      812   4.117314e-10      5135.7512 
 5180000      812   4.378833e-10      5147.7244 
 5190000      812  8.3681746e-10      5159.7303 
